source,target
"Now , I finally can cook DAKDORI !","Now , I can finally cook DAKDORI !"
I worked as hard everyday .,I work hard every day .
A random thought on Energy,A random thought on ( or : about ) energy
You guy do really speak like that ! ?,Do you guys really speak like that ! ?
englis again !,English Again !
twitter,twitter
East Monkey .,Eastern Monkey .
How could I understand it . Give me more information .,How can I understand it ? Give me more information .
Some university students find they benefit from part - time work while others say that working even part - time would prevent them from making the most of their studies . Discuss the merits of both arguments . With which point of view do you agree with regard to your country and why ?,Some university students find they benefit from part - time work while others say that working even part - time would prevent them from making the most of their studies . Discuss the merits of both arguments . With which point of view do you agree with in regard to your country and why ?
I 'm angry to my father ! !,I 'm angry with my father ! !
He defeated a bully,He Defeated a Bully
Huge earthquake and tsunami have attacked my prefecture,A huge earthquake and tsunami hit my prefecture
Women love talking .,Women Love Talking .
I Think Myself on the Quick Sand,I Think of Myself on Quick Sand
My deepest condolence to the earthquake victims .,My deepest condolences to the earthquake victims .
It is last question lol,Here 's my last question ^ ^ lol
When have you traveled somewhere recently ?,When had you traveled somewhere recently ?
2nd - anniversary of going out with my girlfriend .,2nd anniversary of going out with my girlfriend .
under toomuch pressure,under too much pressure
First week have passed in Canada,One week has passed in Canada
The Typhoon Is Approaching !,A Typhoon Is Approaching !
Feel down,Feeling down
Police of dog,Police dog
New - type trousers,New - type Trousers
Help me from bunch of potatoes !,Help me with a bunch of potatoes !
I just finish my homework,I just finished my homework .
I cant speak English . T T,I ca n't speak English . T T
Medical Checkup for Breast Cancer,Health check for Breast Cancer
A Little Hestitation and Nervous,A Little Hesitation and Nervousness
Today is very good day ! ! !,Today is ( a ) very good day ! ! !
What 's a bad day !,What a bad day !
WE MUST THINK WHAT WE CAN DO,WE MUST THINK ABOUT WHAT WE CAN DO
What inspires me . . .,Who inspires me . . .
I have a difficulty,I have a problem
Preparing Zonbi Walk part2 .,Preparing for Zombi Walk part2 .
"nothing I have done , but I am happy","I have done nothing , but I am happy ."
being an english teacher,Being an English Teacher
Last day in February,Last day of February
Fall in love,Falling in love
New Year 's EVe,New Year 's Eve
To Make English sentences,Making English sentences
instead of drum set,instead of a drum set
It 's Start today !,It Starts today !
Responding to an article ( ' Beautiful Things Work Better ' ),"Responding To The Article , ( ' Beautiful Things Work Better ' )"
Short stay in Seneagal,Short stay in Senegal
student from America,Student from America
I just recorded CD .,I just recorded a CD .
Removed a plaster,Removed a cast
It 's rainniing,It 's raining
There was occurred a earthquake in Japan .,An earthquake has happened in Japan .
Which country slaughtered more ? Japan ? or German ?,Which country slaughtered more ? Japan ? or Germany ?
Good - looking American play,Good American Show .
The very begining . . .,The very beginning . . .
Yesterday 's My English Lesson,Yesterday 's English Lesson
What Can We Do for Tohoku Region ?,What Can We Do for the Tohoku Region ?
use cell phone in school .,using cell phones in school
What would you do if I said love .,What would you do if I said love .
difficult !,Difficult !
Decided school,Decided on a school
TOEFL writing - awaits your revisement !,TOEFL writing awaits your revision ! !
It 's unexpectedly difficult to correct a japanese,It 's unexpectedly difficult to correct japanese
please do n't pile up dishes,Please do n't pile up the dishes
I am beating now,My heart is beating now
A Sad News,Sad News
I will take the tofel next weeken ! oh my god .,I will take the TOEFL next weekend ! Oh my god !
I was met with my friend last night .,I met with my friend last night .
I ' m confused !,I 'm confused !
Study English,Studying English
Fort cunning park and MacRitchie reservoir,Fort Cunning park and MacRitchie reservoir
"god , so sleepy","God , I 'm so sleepy ."
Am I escapism ?,Escapism ?
This is my first diary !,This is my first diary entry !
Typhoon is comment to Japan,A Typhoon is comming To Japan
Skype ! my first time !,My first time using Skype !
first time writing diary here,My first time writing a diary here .
Play the piano,Playing the piano
Hello I 'm stranger in here,Hello I 'm a stranger in here
Happy New year ~ !,Happy New Year !
My personality,My Personality
I have found good study English web site,I have found a good English Studying web site .
About Kitties .,About Kittens .
about the rest of my UK life,about the rest of my UK life
If I 'm a Piture . . .,If I 'm a Pitcher . . .
The Calligraphy of Chinese and the traditonal Chinese painting !,Chinese Calligraphy and Traditional Chinese Painting !
Is It Good to be Persuasive,Is It Good to be Persuasive ?
It was so lazy day . . .,Today was a lazy day . . .
Disappoint !,Disappointed !
The famaous rapper that known by Japanese people .,The Rapper Well - known By The Japanese
Introdeuce myself,Introduce myself
My favorit football team,My favorite football team
Englsih speakers use high frequency .,English speakers use high frequency .
I want to speak English fluently as my mother tongue . . .,I want to speak English as fluently as my mother tongue . . .
What a interesting book ! !,What an interesting book ! !
"When people are going to celebrate a special event such as graduation or a special party , some of them prefer a large party , while some of them prefer a small party a few close friends and family members . Which do you prefer ?","When people are going to celebrate a special event such as graduation or a special party , some of them prefer a large party , while some of them prefer a small party with a few close friends and family members . Which do you prefer ?"
Result of today ` s work,Result of Today ` s Work
My goals in a long run,My goals in the long run
First Thanksgiving in my life,The First Thanksgiving ever in my life
a or the ? always annoying problem . . .,A or The ? Always an Annoying Problem . . .
dreadfully spycy . . .,dreadfully spicy . . .
Diary in Eng .,Diary in English .
Today is middle day of a year,Today is a middle day of the year .
I send an email and received the reply .,I sent an email and received the reply .
How to get to my car parkking space from my apartment .,How to get to my car parking space from my apartment .
I just found out the light !,I just discovered this website !
one of ugly women,a ugly women
look back the life in the US,Looking back at my life in the US
I 'm gon na shanghai world international exposition next month !,I 'm going shanghai world international exposition next month !
Judas `` lady gaga `` and taxic `` brtney spears ``,`` Judas `` by Lady Gaga and `` Toxic `` by Britney Spears
The end of overdrive,The End of Overdrive
I 'm really happy to join in .,I 'm really happy to join
I met friends who are going to travel europe with,I met the people who will travel to Europe with me
Add Auto Save Draft,Add Auto Save Draft
TOEIC test,The TOEIC test
The first three days of the new year,The First Three Days of the New Year
I 'm making to write the words of a song .,I 'm writingthe words of a song .
A Handy Crear Folder Within Textbook ( Brushed up ),A Handy Clear Folder Within Textbook ( Brushed up )
17 / 10 / 10 - BBQ at a Park,17 / 10 / 10 - BBQ at the park
It 's my homework to English writting subject .,This is my homework for my English writing class .
a windy day,A windy day
in my company,In my company
Athelet 's feet,Athlete 's foot
I saw a movie,I Saw a Movie
Rock man dash 3,Megaman Legends 3
strange ? ?,Strange ? ?
I wanna meet all the foreigners + . +,I wanna meet foreigners * - *
This is because I 'd love to visit to TAIWAN .,This is because I 'd love to visit TAIWAN .
I afraid to speak in English,I am afraid to speak in English .
Essay : Do you agree with making the smoking area ?,Essay : Do you agree with making a smoking area ?
Nice to see you all,Nice to See You All
My biografy,My biography
driving a car,Driving a car
0309 Decide to quite my job,Decided to quit my job .
Movable Type Hack - a - son,Movable Type Hack - a - thon
There are lots of nationality .,There are lots of nationalities . ( plural )
Thank you very much,Thank you very much
Big disappointment by Sumo .,Big disappointment by Sumo . Disappointed by sumo
The first diary,The first entry
"if you could change once a moment in your past , what would you choose ?","if you could change one moment in your past , what would you choose ?"
The reason of study English,The reason for studying English
my questions which I ca n't ask people now that such a long time has passed since I started studying english .,My questions which I ca n't ask people now because I have not used English for a long time .
Which way is better to tip waiter and waitress ?,Which way is better to tip : waiter or waitress ?
I want to talk to English native speaker on skype .,I want to talk in English with native speakers on skype .
HI ! Every Englsh teacher !,HI ! Every Englsh English teacher !
I got the new one .,I got a new one .
"I signed up yesterday , this is my first diary","I signed up yesterday , and this is my first diary ."
The Phillies Wins !,The Phillies Won !
Halloweem party,Halloween party
It 's been long time to visit here .,It 's been long time since I visited here last .
It is Day off today,Today is my day off
I get muscular pain .,I have a muscular pain .
Good friend,My good friend .
It is little difficult for me to go to bed .,It is a little difficult for me to go to bed .
Radio gymnastic,Radio Aeorbics
New year day .,New Year 's Day .
My birthday 16 day April,My birthday is April 16
My emotion,My emotions
Dec 10th : Sherk 3,Dec 10th : Shrek 3
My U . K . 's memory,My memories of the U . K .
Waring Kimono,Wearing a Kimono
I cught a cold . . . : (,I caught a cold . . . : (
Hallo every one !,Hello every one !
about smoking .,About smoking .
I do n't admit . . .,I do n't want to admit . . .
A hay fever,hay fever
Need a Refreshing,Need a Refresher
The first date in my life,The first date of my life
I began Lang - 8 yesterday . This is the draft of `` About me `` .,I joined Lang - 8 yesterday . This is the draft of `` About me `` .
Nice to meet you,Nice to Meet You
Feeling bodyache,Feeling Bodyaches
My job,My Job
about my careers,about my career
"I 'm afraid , I keep getting forgotten English more and more , day by day .","I 'm afraid I keep forgetting my English more and more , day by day ."
friends in theuniversity,Friends in the University
Summer vacation Finish,Summer vacation End
take action ! !,Take action ! !
A letter to brendan,A letter to Brendan
today is my first join this ciub my english verybad so l hope to rise hope everyboy help me thanks,I joined this club today . my english is very bad so l hope to improve . I hope everyone can help me in this . thanks
I will have a chane to travel to Thailand ~,I will have a chance to travel to Thailand ~
Son 's Birthday,My Son 's Birthday
a house phone is droken down,my house phone has broken down
A fancy Thoughts to celebrate a birthday,Some fancy thoughts to celebrate a birthday
Please help my homework !,Please help me with my homework !
Hi I 'm a new menber,Hi I 'm a new member
Devil wears Prada .,`` The Devil wears Prada `` .
lazy ivy said hellooooooo : (,lazy ivy says hellooooooo : (
cold weather,cold weather
I impressed Fire works festival ! ! ! ! ! ! ! ! !,I was really impressed by the Fireworks festival ! ! ! ! ! ! ! ! !
World economy going down ? ?,World Economy Going Down ? ?
Many animals lost own habitat !,Many animals have lost their own habitats !
THANKS,THANKS
Movies as Learning Medium,Movies as a Learning Medium
`` Coming of spring ``,`` The Coming of Spring ``
Che Guebara,Che Guevara
The Crimson clouds,Crimson clouds
Follow me at Twitter !,Follow me on Twitter !
Osechi ! ! ( Japanese tradtional dish ),Osechi ! ! ( A Japanese traditional dish )
Why the child like sand ?,Why the child likes sand ?
How to improve listening skill,How to improve listening skills
Another lazy day . .,Another wasted day . .
Today is the day of Japan 's lose of the battle against America .,Today is the day that Japan lost the war against America .
There 's some funny things happen to my life ~,There 's some funny things happening in my life ~
souvenire . .,souvenir . .
Hello ! I 'm from whitehouse .,Hello ! I 'm from The White House .
How does Japanese accent sound ?,How does the Japanese accent sound ?
Tonight Asian Cup,Asian Cup tonight
Big sale,Big Sale
The climb,The Climb
Watching Movie Titled RED,Watching the Movie `` RED ``
I wanna tell the charactor crucial thing .,I wanna tell the character a crucial thing .
The last day in 2009,The Last Day in 2009
A successful in lawsuit against nation and Pharmaceutical Company .,A successful lawsuit against nation and Pharmaceutical Company .
learn English from Movie ?,Learning English from movies ?
Matel tov !,Matel Tov !
Very hot,Very hot
how to sleep quickly,how to fall asleep quickly
Language exchange partner,My Language Exchange Partner
Hard work start,The start of hard work
[ 2011 - 1 - 6 ] It 's funny day - 2,[ 2011 - 1 - 6 ] It 's a funny day - 2
keeping a dairy everyday is so exhausting,keeping a diary every day is so exhausting
On a couch,On a couch
I caght a cold,I caught a cold
singapore life,Singapore life
Is Octopus Paul the dominator behind the WC . ?,Is Octopus Paul the dominator behind the World Cup results ?
How to fall asleep soon,How to fall asleep quickly
Diary 2011 / 8 / 25,Diary 2011 / 8 / 25
Hokkaido Pollac,Hokkaido Pollock
School life in Paris,School Life in Paris
Green Green,Green Green / Green Curtain
First diary,First Diary
This is first Writing English,This Is My First English Entry
nice to meet you !,Nice to meet you !
Today 's my plan,Today 's plan
Spank or not to spank ?,To spank or not to spank ?
What Do You Think About Learning Other Languages ?,What Do You Think About Learning Other Languages ?
Is American english pronunciation diffirent from British English one ?,Is American English pronunciation different from British English one ?
Long time no see .,"Long time , no see ."
Impossible is nothing,Nothing is impossible
yesterday 's diary,Yesterday 's diary
Lang - 8 made me a lot of friends,Lang - 8 has made me a lot of friends
The Disagreement of Using Automobile 1 . Please correct . Thank you ! !,The Disadvantages of Using Cars 1 . Please correct . Thank you ! !
Amazon Kindle arrived .,My Amazon Kindle has arrived .
have a cold,I have a cold
if someday I die . what I regret ?,If someday I died . What would I regret ?
Fatty,Fatty
tha first diary .,The first diary .
I went to my friend shop today,I went to my friend 's shop today
I am spent up .,I am spent .
today is a little bit cloudy .,Today is a little bit cloudy .
My thought,My thoughts .
`` Diet ``,Diet
someting but not empty in my heart,Something but not empty in my heart
Health check !,Health check !
I often wander . . .,I often wonder . . .
"I written a letter in English , first time of my life .",I wrote a letter in English for the first time in my life .
Studying Enblish,Studying English
play pooling,play pool
Is there anyone who want to Skype ?,Is there anyone who wants to Skype ?
Let me introduce my self in English .,Let me introduce myself in English .
It 's almost time my husband come home .,It 's almost time for my husband to come home .
Trouble Maker,Trouble - Maker
sunshine in my window,Sunshine in my window
Ceremony decision !,Ceremony Decision !
I introduce myself a little bit .,I will introduce myself a little bit .
Do you know how to use the paid holiday in Japan ?,Do you know how to use paid holidays in Japan ?
"I 'm going to watch SotialNetwork , today .",I 'm going to watch `` The Social Network `` today
[ essay ] Subway,The Subway
This is my first diary in here ~ ~ !,This is my first diary here ~ ~ !
I have been watching American Drama `` Friends `` .,I have been watching the American Drama `` Friends `` .
my Sons kissing bringing me happiness,my son 's kisses bring me happiness
about my life in a week,About My Life in a Week
Introduce my self .,Introducing my self .
What 's on the earth ?,What on earth ?
This picture is my grandmather,This picture is of my grandmother
New Year Greeting Card !,New Years Greeting Card !
Everything would be my experiences .,Everything will be an experience
Go back home,Going back home
It is my first Lang - 8 .,My first Lang - 8 entry
Poor kitty,Poor kitties
have a limited vocabulary,I have a limited vocabulary
Learning English is not That Easy,Learning English is not that easy
I 'm recently preparing for TOEIC and OPIc,I Have Been Recently Preparing for TOEIC and OPIc
Dinner cruise,Dinner Cruise
Using subway in Seoul ! : D,Using the subway in Seoul ! : D
How to get the fandament of other languages,How to learn the fundamentals of other languages
chat on the phone,A chat on the phone
Went to Church for the First Time,Going to a Church for the First Time
library you will be the most precious place I have ever gone,"Library , you are the most precious place I have ever gone ."
Thanks ~ ~,Thanks
I watched a movie named Lan Yu,I watched a movie named Lan Yu
Canada Dollar shepard chocolate !,Canada Dollar shaped chocolate !
Here I have got an English native friend !,Here I have an English native friend !
I miss the little girl lived inside of me,I miss the little girl that lived inside of me
Can you describe one of your colleagues that you work with ?,Can you describe a colleague that you work with ?
I like kyoto,I like Kyoto .
Hoping to move into the cloud - based money management,Hoping to move into cloud - based money management
Is Japanese thin ?,Are Japanese thin ?
I 'm borred,I 'm bored
I got up about 4 am .,I got up around 4 am .
Summer vacation gets started !,Summer vacation is starting !
It 's difficult for me to badminton .,It 's difficult for me play badminton .
today is gloomy sunday : (,today is a gloomy sunday : (
watching movie : Last godfather,Watching a movie : Last Godfather
Nice cut designner,Nice cut designer
im coming !,I 'm coming !
talking to a senior director,Talking to a Senior Director
big and heavy . . .,Big and Heavy . . .
If you 'd like to search for synonyms in Japanese easily,"If you 'd like to search for any synonyms in Japanese easily ,"
Exchange languaje,Exchange language
to shock somebody,to shock somebody
Hello - introducing,Hello - Introducing Myself
I started Golf ! !,I started Golfing ! !
just looking ! !,Just looking ! !
If I Can Early Riser In The Morning Of Tomorrow . . .,If I can wake up early tomorrow morning . . .
I arrived at home .,I arrived at home . I came home .
The Dallas won .,Dallas won .
I Attended A Lecture Meeting,I Attended a Lecture
The Japanese Tea Ceremony,The Japanese Tea Ceremony
The lyric of a new song,The lyrics of a new song
tired today .,Tiring Day .
I want to try tweeting a 1 sentence everyday .,I want to try tweeting one sentence everyday .
Let me introduce about me .,Let me introduce myself .
My first day with a foreign firend on internet,My first day with a foreign friend on the internet
Waste of time,Wasting time
"Composition 0720 , please help me correct it or provide me some ideas , thanks ! !","Composition 0720 , please help me correct it or provide me with some ideas . Thanks ! !"
"Do n't look back , never .","Do n't look back , ever ."
I 'm boring now .,I 'm bored now .
The use of clutch,Use of Clutch
Fall asleep again,Fell asleep again
Social Network,Social Networks
I do n't feeling well,I 'm not feeling well
I working at my office on sunday .,I 'm working at my office on sunday .
NICE TO MEET YOU,NICE TO MEET YOU
"Wecome back , robin !","Welcome back , robins !"
Heavy Cold,Terrible Cold
Karaoke party at tonight !,Karaoke party tonight !
My class mates,My classmates
My 14 months old son,My 14 month old son
language is one of core of competition,language is one of the core aspects of competition
I went to sushi restaurant with my parents,I went to a sushi restaurant with my parents
One of my dream .,One of my dreams .
I 've got premium member,I 've become a premium member
We need English as official language ?,Do we need English as official language ?
Also the dayafter tomorrow,Also the day after tomorrow
It 's fine day !,It 's a fine day !
How can I write a nice personal statement ?,How can I write a nice personal statement ?
We adopted a pussycat,We Adopted a Pussycat
thinking about 4 chan by 2chan mad,Thinking About 4 Chan by 2chan Mad
Summer holidays,Summer holidays
I want get more friends,I want to get more friends
7th diary,My 7th diary
Today 's Happening to me,What happened to me today
miss u,miss u ( you )
I enjoyed at amusement arcade in Akihabara,I enjoyed the amusement arcade in Akihabara
proofreading please,proofread this please
Lunch At A Goverment Office Building,Lunch at a Goverment Office Building
UNIQLO and Theire Business Strategy .,UNIQLO and Their Business Strategy
Sorry . . . Lang - 8 friends .,Sorry . . . Lang - 8 Friends .
Is it correct ?,Is it Correct ?
which laugage I should choose ?,which language should I choose ?
I was a couch potato .,I was a couch potato
My First Singn in,My First Sign - In
Work Hard Study Harder Play Lesser,Work Hard Study Harder Play Less
I Come Back,I came Back
I thought about who I was,I thought about who I 've been .
THE ENGLISHLECTURE,THE ENGLISH LECTURE
What do you think of this suplement ?,What do you think of this supplement ?
Golden Week - japanese long vacation,Golden Week - a long vacation in Japan
I 'm Going To Go Costoco,I 'm Going To Go To Costco
Make me friends,I made friends
let me talk a bout movie again .,Let me talk about a movie again .
GUMDAM ( RX78 - 2 ),GUNDAM ( RX78 - 2 )
Visiting to Kyoto,Visiting Kyoto
What are you doing in New year holiday ?,What are you doing for New Years ?
Place to live,A place to live
It 's monday !,It 's Monday !
I stady English . ( ^ . ^ ),I study English . ( ^ . ^ )
wish I had friends,I wish I had friends
"trip ( vietnum , guam )","trip ( Vietnam , Guam )"
Practice to easy conversation .,Easy to practice conversation .
My PC is something wrong,There is something wrong with my PC
Hello ~ ~ Everybody ! ! I 'm newcomer in lang8 .,Hello ~ ~ Everybody ! ! I 'm a newcomer in lang8 .
My recent hobby is painting picture,My recent hobby is painting .
Yoga Re - start,Re - starting Yoga
other photos of Jiuzhaigou,More photos of Jiuzhaigou
came bak after 3 - week blank,came back after 3weeks
My husband OK ?,Is my husband OK ?
learning english,learning English
Which is your happinest moment in life ? Workaholic guy .,What was the happiest moment in your life ? Workaholic guy .
Toward TOEIC score 600,Toward a TOEIC score of 600
I wont to write a paper .,I want to write a paper .
My Colleage Life ~ ~,My College Life ~ ~
why talented people is lazy,why talented people are lazy
I did n't sleep enough at last night,I did n't have enough at last night
I write to shot story of `` Touhou project `` .,I 'm going to write a short story about `` Touhou Project `` .
The baby who likes only yogurt made me cry .,The baby who insists on eating only yogurt made me cry .
Tokyo Disnyand !,Tokyo Disneyland !
I Found How to Use English to a New Way !,I Found How to Use English in a New Way !
Improving my English skill,Improving my English skills
Job transfer away from my home,Job transfer away from home
I need to a language partner,I need a language partner
I now have a blog ! How exciting !,I now have a blog ! How exciting !
Figuring out a very important think for my son .,Figuring out a very important thing for my son .
Though It 's Sudden,"It 's Sudden , but"
This is my first day to write diary .,This is my first day writing a diary .
Started to go to school on next Monday !,Start to go to school on next Monday !
Help Me ! Help The Interpretation !,Help Me with The Interpretation !
just a personal opinion,Just a personal opinion .
Hello ! It 's first diary .,Hello ! This is my first entry .
Now It is 6 : 00AM in Tokyo,Now it is 6 : 00AM in Tokyo
I was killed by the red monster,I was killed by a red monster .
I spoke English on the Skype .,I spoke English on Skype .
Getty center,Getty Center
I like drawing by a boolpoint pen,I like drawing with a ballpoint pen
What I think deeply thesedays,What I 've been thinking deeply about these days
"About my town , HIROSIMA","About my town , Hiroshima"
2011 / 08 / 16 Anpanman song,2011 / 08 / 16 Anpanman Song
work at summer,work in summer
What is approoriate subject for small talk,What is an appropriate subject for small talk ?
It is so hot summer .,It is a very hot summer .
`` Go On A Diet ``,Starting a Diet
Do you interented in news ?,Are you interested in the news ?
A Important lesson,An Important Lesson
any suggestion a movie for improving my English ?,Any movie suggestions for improving my English ?
Reading is fun !,Reading is Fun !
I bought bath scale,I bought a bathroom scale
I start lang 8 ! !,I started lang 8 ! !
I do n't look for the reason I ca n't do that .,I do n't look for the reason why I ca n't do that .
A mystery of kimono,A mystery of kimono better - The Kimono Mystery
How to spend on my weekend .,How I spent my weekend .
playing guitar,Playing guitar
We made our model debut ! ?,We had our modeling debut ! ?
Presereved flower lesson,Preserved flower lesson
I saw a SKYLINE,I saw SKYLINE
Following journal is my e - mail to my friend live in Florida .,The following entry is my e - mail to my friends who live in Florida .
Daily mission . . .,Daily mission . . . `` goals `` sounds better
I Will Challenge !,I Will Challenge !
When I try to say about something . . . .,When I try to ( say something / talk about something ) . . . .
I am start engilsh diary ! !,I am starting an Engilsh diary ! !
summer vacation !,Summer vacation !
11 / 03 / 16 Wed . There are many things that I can do .,11 / 03 / 16 Wed . There Are Many Things That I Can Do ( We usually capitalize titles )
My English lesson will start tomorrow at new school,My English lesson will start tomorrow at a new school .
sports and cognitive abilities,Sports and Cognitive Abilities
I went to book store .,I went to abookstore .
It was the world diabetes day .,It was e World Diabetes Day .
My ideal hause,My ideal house
to loose my weight,Losing weight .
Trip To The Countryside,A Trip To The Countryside
It comes the rainy season .,The rainy season is here
It takes 10 minutes for me to read one page .,It takes me 10 minutes to read one page .
What is the Difference ?,What is The Difference ?
Yeah - ! !,Yeah ! !
I 'm so sleepy now !,I 'm so sleepy !
Anyway I starts to use this site though in awful situation,"Anyway , I start to use this site though in an awful situation"
I want quit smoking .,I want to quit smoking .
I write a diary for the first time .,I am writing a diary for the first time .
fond memory in Poland,A fond memory in Poland
My cat name is Femt .,My cat 's name is Femt .
I caught cold . . .,I caught a cold . . .
What do u think about women who take her career importantly ?,What do you think about women who take their careers seriously ?
could you give me some feedback ?,Can you give me some feedback ?
A coffee server has come ! ( like FML ),A coffee server came ! ( like FML )
Get to know Taiwan 's nightmarket,Getting to know Taiwan 's nightmarkets
Hill,Hill
someting wrong with my skype mic,something is wrong with my Skype mic .
watching a baby growing up,Watching a baby growing up
soccer is around the wrold .,soccer is played around the world .
is it the technology leaded to the gap between the poor and the rich ?,Does technology widen the gap between the poor and the rich ?
Starting new Blog part 2,Starting a New Blog - Part 2
Relax in my house,Relaxing in my house
On my way to home,On my way home
springtime ; ),Spring time ; )
I have nothing to do this week end !,I have nothing to do this weekend !
Medical examination,Medical Examination .
A chance for learning English ! !,A chance to learn English ! !
The year end party .,The Year End Party .
College drinking with junior years,College drinking with junior students .
hello !,Hello !
The busker,The Busker
want to make friends from all kind of country,I want to make friends from all kinds of countries
About Random Number,All about Random Numbers
Situation : Email to the first trading partner .,Situation : Email to first trading partner .
Hello !,Hello !
Went to Seoul,Trip to Seoul
Hello every body,Hello everybody
Recorded `` Mr . Clock Was Left on the Wall ``,Recorded `` Mr . Clock Was Left on the Wall `` Sounded like cloak
hi ! all lang - 8 memberS,Hi ! all Lang - 8 members
defferent world,different world
A safety tip for motorcycle riders about rainy day,A safety tip about rainy days for motorcycle riders
About my english,About my English
Does E - book really replace traditional books,Do E - books really replace traditional books ?
hi everone ! ! ! ! ! ! ! !,Hi everyone ! ! ! ! ! ! !
My one of electric violins,One of my electric violins
I bought a CS5 ! !,I bought CS5 ! !
I quitted my job,I 've quit my job
Hot Spring,Hot Springs
How do you think ?,What do you think ?
I 'm fresh here,I 'm new here
I cut my bang .,I cut my bangs .
I tinted my hair with reddish .,I tinted my hair with red dye .
making a new friend is very difficult,Making a new friend is very difficult .
Looking of bouquet material !,Looking for bouquet material !
I went to stydy with my friend,I went to study with my friend
Mein stream of Japanese education,The mainstream of Japanese education
Copy or Hommage ?,Copy or Homage ?
I want to make penpal .,I want to have a & nbsp ; penpal .
How to clear up a cold,How to get over a cold
KAWASHIMA will be traded to another team in Plemier League ?,KAWASHIMA will be traded to another team in the Premier League ?
Dec 8th : It was cold . . . .,Dec 8th : It is a cold day . . . .
Sleeping UGLY,Sleeping UGLY ( ? )
First diary,First diary entry
Hi ! It ` s been for a while !,Hi ! It ` s been a while !
Summery of plan of new Microsft operating system,Summary of plan of a new Microsoft operating system
You ca n't write when you 'll write something interesting,You ca n't write when you want to write something interesting
- Dream colaboration -,- Dream collaboration -
Vancouver Sun Run,The Vancouver Sun Run
Valentine 's Day,Chinese Valentine 's Day .
Lucky or Bad day,A Lucky or A Bad day
Does he know it or not ?,Does he know or not ?
how to keep healthy,How to Keep Healthy
Who Is The Man ?,Who is This Man ?
Keeping trying is important !,To keep trying is important !
I want help,I want help .
Bowling game .,Bowling .
part - time - job,Part - time Job
Walking and Temples,Walking and Temples
this is my first english diary,this is my first English diary
I hate ! ! !,I hate driving ! ! !
