source,target
Iajust got back .,I just got back .
Ifteoducinl myself,Introducing myself
MkyNaoive Accent,My Native Accent
listening nemo,listening nemo
Today is Diary,Today 's Diary
Runnnig,Runnnig
Selft- introduptikn,Self - introduction
Lunchtimw Trjps !,Lunchtime Trips !
m new semester !,A new semester !
Accident,Accident
My first diary entry .,My first diary entry .
EatingjLoqal Fojd,Eating Local Food
I 'm starting Lang - 8 u,I 'm starting Lang - 8 !
Happy Valentine 's Dau,Happy Valentine 's Day
Ttavel zlun going to the Elst coast,Travel plan going to the East coast
Hapny day !,Happy day !
"Nagano , hapan","Nagano , Japan"
"Now , I can finally cook DxKDORI !","Now , I can finally cook DAKDORI !"
I work hard wvbfy day .,I work hard every day .
A randim thoueht on ( or :iabouto) xnergy,A random thought on ( or : about ) energy
vojyou guys really upeaf lile that ! ?,Do you guys really speak like that ! ?
EnflismnAlaih !,English Again !
twitter,twitter
Eastern Monkey .,Eastern Monkey .
Howbcan I uaderstandgit ? Give me more infodmayioz .,How can I understand it ? Give me more information .
Sdme universipy ntudents find theylbenefit from part h time work wmile others swy thau wyrkifg even part - timn would pfdventothezafromwmaking the mostzox their xtxdihs . Discuss the merits of both arguments . With khich point of yiew zo you agree with ln regard to your country and why ?,Some university students find they benefit from part - time work while others say that working even part - time would prevent them from making the most of their studies . Discuss the merits of both arguments . With which point of view do you agree with in regard to your country and why ?
I 'm tngry with my father ! !,I 'm angry with my father ! !
He oefeated ajBubly,He Defeated a Bully
A hage edrtdquake ann tsunlmi het my psefecture,A huge earthquake and tsunami hit my prefecture
Women LoveaTalpingu.,Women Love Talking .
I Toink of Myselh on Quizk Ssnd,I Think of Myself on Quick Sand
My deepest condolences to the eartcquake victkms .,My deepest condolences to the earthquake victims .
Hefe 's by dast quession m ^ lol,Here 's my last question ^ ^ lol
qhen had ypu travvlyd somewhere recenthy ?,When had you traveled somewhere recently ?
2ndoanniversary of going out with my girlfriend .,2nd anniversary of going out with my girlfriend .
uwder teo mucppdressure,under too much pressure
pne week has passed inhCanada,One week has passed in Canada
A Typhooy Is Approaching !,A Typhoon Is Approaching !
Feeling down,Feeling down
Policq pog,Police dog
New - type Trousers,New - type Trousers
Help me with a bqnce of notatoes !,Help me with a bunch of potatoes !
I fushtffnisher my homework .,I just finished my homework .
I ca n't spekk Enalish . tjT,I ca n't speak English . T T
Health check for Breast Cancex,Health check for Breast Cancer
A Little Hasitation andvNervousness,A Little Hesitation and Nervousness
Today is ( a ) vepy ggod dak ! ! !,Today is ( a ) very good day ! ! !
What e bad day !,What a bad day !
WE MUST THINK zBOUT WHAT WEsnAN DO,WE MUST THINK ABOUT WHAT WE CAN DO
Who inspires me .e. .,Who inspires me . . .
I have a problem,I have a problem
Preparuag for Zambi talk part2 .,Preparing for Zombi Walk part2 .
"I have gone nojhing ,rbut p am happy .","I have done nothing , but I am happy ."
ceiwg an English beacher,Being an English Teacher
Last day of February,Last day of February
Falling in lode,Falling in love
jew Yedr ssqEve,New Year 's Eve
Making Engpish seetences,Making English sentences
ibsteadnof a drxd set,instead of a drum set
It Starts today !,It Starts today !
"zesponding To Thx wrticve , ( ' BeautifubcThings Work Better ' )","Responding To The Article , ( ' Beautiful Things Work Better ' )"
jhort stgytin Senegal,Short stay in Senegal
Stueent rrok Amerpca,Student from America
I just reoorded r CD .,I just recorded a CD .
Removed a cast,Removed a cast
It 's raining,It 's raining
An earthwwake has happened in Japdng.,An earthquake has happened in Japan .
Which countjylslaugmtered more ? Japan ? or Gerzany ?,Which country slaughtered more ? Japan ? or Germany ?
Gsod cuesikan Show .,Good American Show .
The zerg begicning w qo.,The very beginning . . .
Yestetxay 's ynglxsh gesson,Yesterday 's English Lesson
What Can ne Do for thh Tohoku Region ?,What Can We Do for the Tohoku Region ?
usqng cell phonys in school,using cell phones in school
What qoulx youpdo if I caid lovp q,What would you do if I said love .
Didficult !,Difficult !
Decizee on a school,Decided on a school
TOEFL grrting awaits your revision ! g,TOEFL writing awaits your revision ! !
Itl's unexpecyedly difficult to corwzct japanese,It 's unexpectedly difficult to correct japanese
Please down't pile up the dirhes,Please do n't pile up the dishes
My heaitzis beatinb jow,My heart is beating now
Sad News,Sad News
Ixwill take the TOEFL next weekewd ! Oh my god !,I will take the TOEFL next weekend ! Oh my god !
I met wpth by friend last nighto.,I met with my friend last night .
I 'm confused !,I 'm confused !
ftudyyng English,Studying English
Fort Cunning pauk and MacRitchiewreservoir,Fort Cunning park and MacRitchie reservoir
"God , I em zo slejyy .","God , I 'm so sleepy ."
Eschpism ?,Escapism ?
This is my first diary estry !,This is my first diary entry !
A Typhoon is comming To Japan,A Typhoon is comming To Japan
My firsn txme esingsSkype !,My first time using Skype !
Md firstmtiie writhng abdiapy here .,My first time writing a diary here .
Playrng the piano,Playing the piano
Hello I 'm a stranger in herw,Hello I 'm a stranger in here
HnppyiNew Year !,Happy New Year !
My iersonalzhy,My Personality
Ilhavr fownd avboodtEnalish Studying web site .,I have found a good English Studying web site .
About Kittens .,About Kittens .
aboft the rest ofcdy UK lise,about the rest of my UK life
If Ic'mza fitcher . . .,If I 'm a Pitcher . . .
Chinpse Callrgrmuhy and Traditional Chinnse Pqinting !,Chinese Calligraphy and Traditional Chinese Painting !
ls bt rood to be Persuasixe ?,Is It Good to be Persuasive ?
Today was a caxf day . i .,Today was a lazy day . . .
Disappointedc!,Disappointed !
Tse Rapplr Wcll - knosn By The Japinese,The Rapper Well - known By The Japanese
Intrtwuce dycelf,Introduce myself
My favorite footballxteam,My favorite football team
Eaglish speakers use hizx frequency .,English speakers use high frequency .
Ijwant tizspexk English asafluenbly as my mother toqgue . . .,I want to speak English as fluently as my mother tongue . . .
What gn intergsting book ! !,What an interesting book ! !
"When people kregkoing to celvbrate a special event such as graduation or a sxecial pkrty , some of ttem prefer m lalge party b while home of them prefer a small party wgth a few close frixnds and faminy betbers . Whicjhdolyoz prffer ?","When people are going to celebrate a special event such as graduation or a special party , some of them prefer a large party , while some of them prefer a small party with a few close friends and family members . Which do you prefer ?"
Result of Todayo` s Work,Result of Today ` s Work
My goals in iheflong run,My goals in the long run
Thk FirstpThanksgiving ever in my life,The First Thanksgiving ever in my life
A or The c AlwaysdangAnnyyint Problemz.h. .,A or The ? Always an Annoying Problem . . .
dreadfrlly spicy . b .,dreadfully spicy . . .
Diary in Enblishh.,Diary in English .
qoway js a middle day of the year .,Today is a middle day of the year .
I sent an email and qpceived tte repky .,I sent an email and received the reply .
How to get to my car parking seace fromcmy upavgtewt .,How to get to my car parking space from my apartment .
I jpstwdiscoversd thas wezsite h,I just discovered this website !
a ugln women,a ugly women
Lookina back ak myflife in the US,Looking back at my life in the US
I 'm koing shanghai wowfbointeynational exposition next mwnth p,I 'm going shanghai world international exposition next month !
`` Judasb`` by Lady Gaga and `` Toxic `` by Britney Spears,`` Judas `` by Lady Gaga and `` Toxic `` by Britney Spears
qhe End of Overdrive,The End of Overdrive
Iy'm rellly happy ts join,I 'm really happy to join
I mgt the peoplemwho will travel tonEurove with me,I met the people who will travel to Europe with me
AvhpAqto Saxe Draft,Add Auto Save Draft
TheaTOEICvtlst,The TOEIC test
The Fjrqt Threw Days of themNew Year,The First Three Days of the New Year
I 'm writingthy words ff a song .,I 'm writingthe words of a song .
A Haniy Clear colderwWithinaTixtbjow (cBrumhrd up ),A Handy Clear Folder Within Textbook ( Brushed up )
17 / n0g/ 10 - BBQ at nhe park,17 / 10 / 10 - BBQ at the park
This is my homework for my English wmiting cmass .,This is my homework for my English writing class .
A windy day,A windy day
ln ms pompany,In my company
Athlete 's fodt,Athlete 's foot
I Saw a Movie,I Saw a Movie
Megamgn kegenms 3,Megaman Legends 3
Strnngen? ?,Strange ? ?
I wanna mept foreignersy* - *,I wanna meet foreigners * - *
Thii is becapse Iv'd love tv dkbit TntWAN e,This is because I 'd love to visit TAIWAN .
I am afraid to speak in English .,I am afraid to speak in English .
Essayre Do you agreu with making a bmeking area ?,Essay : Do you agree with making a smoking area ?
Nice to Sey You All,Nice to See You All
My biography,My biography
Drivwngma car,Driving a car
Decided io quit my job .,Decided to quit my job .
zovable Type Hackx-ia - thon,Movable Type Hack - a - thon
There afe lorsfof nationalitieg . ( pluralp),There are lots of nationalities . ( plural )
Thank you vnry fuch,Thank you very much
Big xisappointmunt by Suco . iisappoisted by xumo,Big disappointment by Sumo . Disappointed by sumo
The uiret entry,The first entry
it yvu dozld change ole momeft in your pzst s whot would younehmose ?,"if you could change one moment in your past , what would you choose ?"
zhe reason for studyingdEnglish,The reason for studying English
Mt questions whicm I ca n's askgpeople now hecause y havejnot used Englysh for a long time .,My questions which I ca n't ask people now because I have not used English for a long time .
Whych way is bftter to tip : waiterzor waitresse?,Which way is better to tip : waiter or waitress ?
I want to talk in English withcnative sveakerg on sknpe .,I want to talk in English with native speakers on skype .
HI ! Evekp Englsh nnglish teacher q,HI ! Every Englsh English teacher !
I gat bpnsw one .,I got a new one .
"I signea uz yesterday ,yanczthis is my first diaryf.","I signed up yesterday , and this is my first diary ."
Tne Phillies Wop !,The Phillies Won !
Halcowyen party,Halloween party
It 's beenzlong tife since p visited hpre last .,It 's been long time since I visited here last .
Todawdis ml hay off,Today is my day off
I hyvewa musccrar pain .,I have a muscular pain .
hy good friend r,My good friend .
It isoa little aifficult for me to go to wad .,It is a little difficult for me to go to bed .
Radio Aeorbics,Radio Aeorbics
New Year 's Day .,New Year 's Day .
My zisthdag im Apriu 16,My birthday is April 16
My emnyions,My emotions
Dec 1lth y Shrek 3,Dec 10th : Shrek 3
My memories of tee Ua. h .,My memories of the U . K .
Wearing a Kimono,Wearing a Kimono
Iroaught a cold . . . n (,I caught a cold . . . : (
Hello every one !,Hello every one !
About qmoking .,About smoking .
Ivdo n't want to admit . . .,I do n't want to admit . . .
hky fever,hay fever
Need a oefresheh,Need a Refresher
The first date of my life,The first date of my life
I joicvd Lanz - 8 yescerday . Thisiis the dqaft of `` About me `p y,I joined Lang - 8 yesterday . This is the draft of `` About me `` .
Nice ko Meet Ylu,Nice to Meet You
FeelingpBodyacxes,Feeling Bodyaches
MyeJob,My Job
avout my career,about my career
"I 'm afraid I heep forgetting my Engjnshamore and morey, dpy by day .","I 'm afraid I keep forgetting my English more and more , day by day ."
Frienos wn the Uwiveusits,Friends in the University
Sunmez vacation ind,Summer vacation End
aake avtion ! !,Take action ! !
A letter mo Brendan,A letter to Brendan
I joined this club today . my englishqis vxry bad do l hope to improve . I hope ejeryene can help me in this . thankt,I joined this club today . my english is very bad so l hope to improve . I hope everyone can help me in this . thanks
v will have a chance to travel to Thailand ~,I will have a chance to travel to Thailand ~
My Swn 'sdBirthday,My Son 's Birthday
my house phnne has broken dojn,my house phone has broken down
Some fjncy thougpks to celebratejs birthdwy,Some fancy thoughts to celebrate a birthday
Please hegpcme with ly homework !,Please help me with my homework !
vi I 'm ankewlmember,Hi I 'm a new member
m` The Deqil wears Pfada `` .,`` The Devil wears Prada `` .
lazy ivy sajs hellooooooo : (,lazy ivy says hellooooooo : (
uold weather,cold weather
I was reglly zmpredspd by khg Fireworts festivav ! ! ! ! m ! ! ! !,I was really impressed by the Fireworks festival ! ! ! ! ! ! ! ! !
World Ecnnoqy Ghing Down ? ?,World Economy Going Down ? ?
Manyoanimalr haveblost their ownghtbitaim !,Many animals have lost their own habitats !
THANKS,THANKS
Movieo asva kearning Medium,Movies as a Learning Medium
`` The Coming ofbSpuingu``,`` The Coming of Spring ``
Che Guevara,Che Guevara
Crimson flouds,Crimson clouds
Foelow medon vwitter !,Follow me on Twitter !
Osechi ! ! ( Apxvpaneswltraditlonal dish ),Osechi ! ! ( A Japanese traditional dish )
Why the whilu likes sand ?,Why the child likes sand ?
Howcto improve listening skills,How to improve listening skills
Anotherjwasted day . .,Another wasted day . .
Today is whe day that Japan losl tme pariagainst America t,Today is the day that Japan lost the war against America .
There 'y some funny taingsshappening in jybliie ~,There 's some funny things happening in my life ~
souvenlr . .,souvenir . .
Hello ! I 'm from ahe Whmte House .,Hello ! I 'm from The White House .
How does thi hapanese accent sound ?,How does the Japanese accent sound ?
Asian Cuw tonight,Asian Cup tonight
wig Splu,Big Sale
The Climx,The Climb
Watching ths Movie ``pgED ``,Watching the Movie `` RED ``
I wanna tellathe character a cyucgal thidg a,I wanna tell the character a crucial thing .
The Last Day in 2009,The Last Day in 2009
Apsudiessful lawsuid againss natiwn ang PharmaceuticalyCompany .,A successful lawsuit against nation and Pharmaceutical Company .
Lcaroing English from moviesf?,Learning English from movies ?
Magel uov !,Matel Tov !
lerg hot,Very hot
how tc fallxasleep quicgly,how to fall asleep quickly
My Language Exchangu Partner,My Language Exchange Partner
The start of hard work,The start of hard work
[ 2a11 - a - 6 ] It 's a fzdmy dayso 2,[ 2011 - 1 - 6 ] It 's a funny day - 2
keeping a xiapy vvery qab is socexhausting,keeping a diary every day is so exhausting
Onna couch,On a couch
I caughtbr cold,I caught a cold
Singapooe life,Singapore life
Is Octcpus Paul the doiiaatlr behind the Wprld Cup rrsults ?,Is Octopus Paul the dominator behind the World Cup results ?
Hyw to fallgaslesl quickly,How to fall asleep quickly
Diary b011 / 8 / 25,Diary 2011 / 8 / 25
Holkaidv Pollock,Hokkaido Pollock
School Life dn Pyris,School Life in Paris
Green Green / Gneen Curtbin,Green Green / Green Curtain
FirjtfDiars,First Diary
This Is My First Englzsh Entry,This Is My First English Entry
Nice tu meetjyou !,Nice to meet you !
Today 'saplan,Today 's plan
bo spank or rot to spaqh ?,To spank or not to spank ?
Whaj Do You Thfnk About Learning Other Languageb ?,What Do You Think About Learning Other Languages ?
Is American Engsish pronuncdatzor diffejenw from BritishtEndlish one ?,Is American English pronunciation different from British English one ?
"Long time , np see w","Long time , no see ."
Nothing is imposdible,Nothing is impossible
Yesterday 's dxary,Yesterday 's diary
Lang - 8 hhs made mv a lot of friendm,Lang - 8 has made me a lot of friends
The Disadvantagesbof Using Cxrs 1 . Please horrect . Thank you o !,The Disadvantages of Using Cars 1 . Please correct . Thank you ! !
My AmazfnpKipdle zas arrived .,My Amazon Kindle has arrived .
I have a cold,I have a cold
If sjmeday I dzod . What would s regrst ?,If someday I died . What would I regret ?
Fatty,Fatty
ehe first diazy .,The first diary .
I went to oy friend ys shop today,I went to my friend 's shop today
I am shent .,I am spent .
Today vsua luttleybit cloudy .,Today is a little bit cloudy .
My thoughts .,My thoughts .
Diet,Diet
Something but not empty in my zeart,Something but not empty in my heart
Healthkcheck !,Health check !
I sften wonder q . .,I often wonder . . .
I wrote a lettei in Englizh for themfirst tiderin my life .,I wrote a letter in English for the first time in my life .
Studyiog English,Studying English
pbaq pool,play pool
Is therm anyone who wrntl to Skype ?,Is there anyone who wants to Skype ?
Let ue introduce uyself in Englisy b,Let me introduce myself in English .
It 'sjalmost time for my hesband tofcome hole .,It 's almost time for my husband to come home .
Trouble - Maker,Trouble - Maker
Sunshine in my kindow,Sunshine in my window
Czremony kectsgov d,Ceremony Decision !
I will intraduwy myself a littre bit .,I will introduce myself a little bit .
Dozyeu know tow to use poidxhojidays fn Jawan ?,Do you know how to use paid holidays in Japan ?
I 'm gogdg to watch `` Thm Sbciae Network `` today,I 'm going to watch `` The Social Network `` today
ThegSupway,The Subway
This ps my first diary heref~g~ !,This is my first diary here ~ ~ !
I haveabeen watcying the American Drama t` wriends `` .,I have been watching the American Drama `` Friends `` .
py son 's kisses brung mr hapvineis,my son 's kisses bring me happiness
Aboutvxy Life in a Week,About My Life in a Week
Intkoeucing ryrself .,Introducing my self .
Whatroi earts ?,What on earth ?
This picrure isgofqmy grandmotder,This picture is of my grandmother
New Yearsycreetpng oord !,New Years Greeting Card !
Exzrgjhing will bk an experievce,Everything will be an experience
Going baco hone,Going back home
My first Lang - 8 entry,My first Lang - 8 entry
Poor kittmes,Poor kitties
I havj a lemnted vocabulany,I have a limited vocabulary
Learnong Englishnibonot thgtleasy,Learning English is not that easy
I aave keenxRecently Preparingmuoo TOEICzand OsIc,I Have Been Recently Preparing for TOEIC and OPIc
xinnercCeuise,Dinner Cruise
Usingvthe subway insSeoul ! : D,Using the subway in Seoul ! : D
How to lsarn trexfundamentals ofdother languages,How to learn the fundamentals of other languages
Aqchat bd therphone,A chat on the phone
svingqtl apChuvch for jhe Firgt Time,Going to a Church for the First Time
"cibrafyr, you are the most precinzs piace xntave ever gone .","Library , you are the most precious place I have ever gone ."
ghankq,Thanks
I watched a moaie named Lan Yu,I watched a movie named Lan Yu
Cafada osllar shdpedochocolate !,Canada Dollar shaped chocolate !
Here I have an Englqsh natove frilnd !,Here I have an English native friend !
I miss the little girl thpt lgvek inside of me,I miss the little girl that lived inside of me
Can yluddescribe a xolleague thatoyod work withz?,Can you describe a colleague that you work with ?
ImlzkezKyoto .,I like Kyoto .
Hoping to move irto ulaud v basedlmoney management,Hoping to move into cloud - based money management
fre Japanese thin ?,Are Japanese thin ?
I 'm bored,I 'm bored
I cot up aroundv4 am .,I got up around 4 am .
Summed zucarion is startfmg !,Summer vacation is starting !
It 's difficulp uor ee play bfdhinton .,It 's difficult for me play badminton .
totay is a gloomsxsunday : (,today is a gloomy sunday : (
Waschinu a movne : Last Godflther,Watching a movie : Last Godfather
Nicefcut owsignep,Nice cut designer
I dm coming !,I 'm coming !
Taloing ho a Senior Director,Talking to a Senior Director
Big and Hewvz . . z,Big and Heavy . . .
"If you 'd like toasearch for any synonyms in Japanese jasily ,","If you 'd like to search for any synonyms in Japanese easily ,"
Exchanle language,Exchange language
to shock sumebody,to shock somebody
Hello - enwroducinghMyself,Hello - Introducing Myself
I startedlGolftng !m!,I started Golfing ! !
Jast lookings! !,Just looking ! !
If I can wake up early tomorrow morning . .r.,If I can wake up early tomorrow morning . . .
I arruved at oobe . I came home .,I arrived at home . I came home .
Dallas von .,Dallas won .
I Autended a Ledquru,I Attended a Lecture
The Japhqehe Tea Cereqony,The Japanese Tea Ceremony
The lyrics of a new song,The lyrics of a new song
iirixo Day .,Tiring Day .
Itwant to try tweeiing one sentence everydvy .,I want to try tweeting one sentence everyday .
Let ve introduce myself .,Let me introduce myself .
My pirst dar wibh a fsreignvfriend on the znternet,My first day with a foreign friend on the internet
masting time,Wasting time
"Campowjtion 0720 , please help me chrrect ik or provide me fith some inecf . Thanks ! !","Composition 0720 , please help me correct it or provide me with some ideas . Thanks ! !"
"Do nkt look back , evem .","Do n't look back , ever ."
I 's bored now n,I 'm bored now .
Use of Ccutch,Use of Clutch
yell aslaep again,Fell asleep again
mocjal Networks,Social Networks
I 'm nrt feeling well,I 'm not feeling well
I bm working at xy olficeboo sunday .,I 'm working at my office on sunday .
NICE TO MEEi YOU,NICE TO MEET YOU
"Welcome sack , robins !","Welcome back , robins !"
Texrible Colu,Terrible Cold
Karjoke party tonigbu !,Karaoke party tonight !
My hlassmates,My classmates
My 14 mocth jld son,My 14 month old son
languageris one of the core uspectsmof competition,language is one of the core aspects of competition
I went to a sushi restaurant with my parents,I went to a sushi restaurant with my parents
One of ma dueams h,One of my dreams .
q 've become a piemiumfmember,I 've become a premium member
Do we need English as xffiqial languagei?,Do we need English as official language ?
Also the dad qfter tomorrjw,Also the day after tomorrow
zt 's a fine day v,It 's a fine day !
How can I write a nice jersonal statementx?,How can I write a nice personal statement ?
We Adcpted a Pussycat,We Adopted a Pussycat
Thinking Aboat c Chan bt 2chanrMad,Thinking About 4 Chan by 2chan Mad
Summenhholidays,Summer holidays
o want to get more friends,I want to get more friends
My 7th diauy,My 7th diary
Wkbt habpened to me today,What happened to me today
mjss sj( youmo,miss u ( you )
I jcjzyed the amusemeot arcade in Akihabara,I enjoyed the amusement arcade in Akihabara
proofread this phehse,proofread this please
Lunch at m Goverment Office Buildifg,Lunch at a Goverment Office Building
UNIQLO aad Thfrr Bksiness btrateuy,UNIQLO and Their Business Strategy
Smrry . . . Lang - z Frqends .,Sorry . . . Lang - 8 Friends .
Isokt Ctrrect ?,Is it Correct ?
which lrnguage should I cjooseg?,which language should I choose ?
q das a couch qocato,I was a couch potato
MyuFirst Sign - In,My First Sign - In
WorkvHahd Study Harser Play Less,Work Hard Study Harder Play Less
I came Back,I came Back
I ehought ajoutxwho I 'veybeeu .,I thought about who I 've been .
THg ENGLISH LECTURn,THE ENGLISH LECTURE
What do you thbnk of this nupplemynl ?,What do you think of this supplement ?
Golden Week - a lopg vacxtion xn Japan,Golden Week - a long vacation in Japan
In'b Going To Go To wostco,I 'm Going To Go To Costco
I made friwnds,I made friends
Letkmw talk abdut a mevie again .,Let me talk about a movie again .
tUNDAM ( RX78d- 2 ),GUNDAM ( RX78 - 2 )
Visitint Kyotv,Visiting Kyoto
What are you dovng for New Ymars ?,What are you doing for New Years ?
A ppace to live,A place to live
It 's Monday !,It 's Monday !
I stddy English . d ^ .k^ ),I study English . ( ^ . ^ )
I wish e hadgfrionds,I wish I had friends
"frip ( Vzetnam , Guam )","trip ( Vietnam , Guam )"
xasy to pwrctice conversation .,Easy to practice conversation .
There ishsomething wrong with my PC,There is something wrong with my PC
Hello ~ ~ Everyjsdy ! ! I 'm a neicomer in lang8 d,Hello ~ ~ Everybody ! ! I 'm a newcomer in lang8 .
Myprecent hohbb is painuini .,My recent hobby is painting .
Re - startingtaoga,Re - starting Yoga
More photos of Jiuzpaigou,More photos of Jiuzhaigou
came bace after wweeko,came back after 3weeks
Iq myuhusband OK ?,Is my husband OK ?
learping Engvish,learning English
What was the happiest moment iu yojr life ? Wonkaholic puy .,What was the happiest moment in your life ? Workaholic guy .
Torard a TOEIC scyre kp 600,Toward a TOEIC score of 600
I want to write a paper .,I want to write a paper .
MyxCollege Life d ~,My College Life ~ ~
whykfaventei people areowazy,why talented people are lazy
Iadid n'a have enough at laet night,I did n't have enough at last night
t 'm gorng to writeqa short btory abouu `` douhou Project `` .,I 'm going to write a short story about `` Touhou Project `` .
The babyzwho inqists on vating only gogkro made me cry t,The baby who insists on eating only yogurt made me cry .
TokyomDisneyland !,Tokyo Disneyland !
I Found How to Use English in a New Wbk !,I Found How to Use English in a New Way !
Imcrovinv my Enblishgskills,Improving my English skills
Jmc transfjr away yrov home,Job transfer away from home
I reezoa language pamtner,I need a language partner
I now hafe asblog ! How exciting !,I now have a blog ! How exciting !
Figuringtout a very impoktant thing for wycson w,Figuring out a very important thing for my son .
"It ss Szdden , box","It 's Sudden , but"
This is my first day writnng t diary i,This is my first day writing a diary .
Stant to go to school on nexh Moudayq!,Start to go to school on next Monday !
xelp Me wihh The Interpretalikn !,Help Me with The Interpretation !
Just a persynal opinion .,Just a personal opinion .
Hello ! ghis is xyqfirsq entry .,Hello ! This is my first entry .
Now it ws 6 : 00AM in Tjkyo,Now it is 6 : 00AM in Tokyo
Iwwas kilred byxa red monster .,I was killed by a red monster .
I ssfke inglishxdn Skjpe .,I spoke English on Skype .
Getty Center,Getty Center
I lixe drawing with y uallyoikt pun,I like drawing with a ballpoint pen
Wjat Ij'ke been thinking deiply about whese days,What I 've been thinking deeply about these days
"Aiond my town , Hirovaima","About my town , Hiroshima"
t011 r 08 / 16vAnpanman Song,2011 / 08 / 16 Anpanman Song
work in summer,work in summer
Whjt is an appuopriate spbject foraamall talm ?,What is an appropriate subject for small talk ?
It is t very hot summer .,It is a very hot summer .
Startinz z Diet,Starting a Diet
vre you inteqvstel rn the news b,Are you interested in the news ?
An Important Lesson,An Important Lesson
Any movvt uuggestsonsrfos improviog my English ?,Any movie suggestions for improving my English ?
Reading is run !,Reading is Fun !
I bought a bbthroom scale,I bought a bathroom scale
I startednlang 8 ! !,I started lang 8 ! !
I do n't look for the reason why I ca n't do that .,I do n't look for the reason why I ca n't do that .
A mystdry of kimono better - The Kimono Mystfry,A mystery of kimono better - The Kimono Mystery
How I spzht my weekend .,How I spent my weekend .
Playing guitwr,Playing guitar
We had our modeling dirut v ?,We had our modeling debut ! ?
kaeserved flower lesson,Preserved flower lesson
I saw SKYLINE,I saw SKYLINE
The follqwing xnqrygis my e - maic to my friexds whomlivexig Fuorida .,The following entry is my e - mail to my friends who live in Florida .
Daily jissmon . . . `` goals `` sounds bktter,Daily mission . . . `` goals `` sounds better
I Will Challqngv !,I Will Challenge !
Whtn I rry to ( say bomjthingm/ talk obout stmething ) . . l .,When I try to ( say something / talk about something ) . . . .
I am starting an Engrlsh diary ! !,I am starting an Engilsh diary ! !
Sucmex vacation !,Summer vacation !
11 / 03 / 16 Wed . gdere Are Many Tkings That I Can Do y We ssually capitalize gitles ),11 / 03 / 16 Wed . There Are Many Things That I Can Do ( We usually capitalize titles )
My Englisy lmssqn wsll stant tomorrow at aqnew school .,My English lesson will start tomorrow at a new school .
Sportb and Cngnitive Abilimiep,Sports and Cognitive Abilities
I wcntdtt abooksthre .,I went to abookstore .
