source,target
He wears glasses since he was a child.,He has worn glasses since he was a child.
I am agree to your proposal.,I agree with your proposal.
They decided to went back home.,They decided to go back home.
She requested me to help her.,She asked me to help her.
I got a bad grade inspite of studying hard.,I got a bad grade despite studying hard.
We should respect to older people.,We should respect older people.
He is very proud about his work.,He is very proud of his work.
I had a nice travel last summer.,I had a nice trip last summer.
She explained about the rules.,She explained the rules.
He often make mistakes in English.,He often makes mistakes in English.
I am missing you so much.,I miss you so much.
They installed a new equipments.,They installed new equipment.
She entered in the room quietly.,She entered the room quietly.
I was so hungry that I could eat an horse.,I was so hungry that I could eat a horse.
He don't need to worry about that.,He doesn't need to worry about that.
I am very boring at home.,I am very bored at home.
She is succeed in her career.,She is successful in her career.
We reached to the station just in time.,We reached the station just in time.
He writed a long email to his boss.,He wrote a long email to his boss.
I am ready for take the exam.,I am ready to take the exam.
She doesn't have enough confidences.,She doesn't have enough confidence.
They were discussing about politics.,They were discussing politics.
I must to leave now.,I must leave now.
He is a very knowledge person.,He is a very knowledgeable person.
She goes to school by the foot.,She goes to school on foot.
I have lot of works to do today.,I have a lot of work to do today.
They didn't want to made a mistake.,They didn't want to make a mistake.
She is married since three years.,She has been married for three years.
I sometimes feel very loneliness.,I sometimes feel very lonely.
He is very pride of his country.,He is very proud of his country.
We are looking for a big house for to live in.,We are looking for a big house to live in.
I want to became a doctor.,I want to become a doctor.
She is studying hard since last year.,She has been studying hard since last year.
He didn't want to showed his results.,He didn't want to show his results.
I enjoy very much to cook.,I enjoy cooking very much.
They are thinking to move abroad.,They are thinking about moving abroad.
She don't speak Spanish at all.,She doesn't speak Spanish at all.
I am fully agree with you.,I fully agree with you.
He has been went to France twice.,He has been to France twice.
We should make our homeworks.,We should do our homework.
She couldn't stop to laugh.,She couldn't stop laughing.
I am very tire after a long day.,I am very tired after a long day.
He is more young than I thought.,He is younger than I thought.
They didn't understand my explain.,They didn't understand my explanation.
I prefer the summer than the winter.,I prefer summer to winter.
She was nervous to give a speech.,She was nervous about giving a speech.
He don't want to speak about it.,He doesn't want to speak about it.
I have a very important informations.,I have very important information.
We was having dinner when he called.,We were having dinner when he called.
She asked to me a question.,She asked me a question.
I can't find my keys from one hour.,I haven't been able to find my keys for an hour.
He make very good decision every time.,He makes very good decisions every time.
I am very boring in this meeting.,I am very bored in this meeting.
She didn't knew about the plan.,She didn't know about the plan.
They must finished the work by Friday.,They must finish the work by Friday.
I am very disappointing with the result.,I am very disappointed with the result.
He is worry about the future.,He is worried about the future.
We have done a lot of progresses.,We have made a lot of progress.
She is very differ from her twin.,She is very different from her twin.
I am habituated to eat early.,I am accustomed to eating early.
He doesn't wanted to leave.,He didn't want to leave.
I am very confuse about this topic.,I am very confused about this topic.
They agreed on to meet on Monday.,They agreed to meet on Monday.
She have to study more.,She has to study more.
I apologized to arrive late.,I apologized for arriving late.
He is not at all boring.,He is not boring at all.
We must to protect the environment.,We must protect the environment.
I think this is very importance issue.,I think this is a very important issue.
She don't have any experiences.,She doesn't have any experience.
He is more cleverer than his brother.,He is more clever than his brother.
I very much like to travel.,I like to travel very much.
They has been waiting for long.,They have been waiting for a long time.
She is very senstive person.,She is a very sensitive person.
I will be happy to give you advices.,I will be happy to give you advice.
He suggest that we take a break.,He suggested that we take a break.
I was very disappoint with the film.,I was very disappointed with the film.
She doesn't know to cook.,She doesn't know how to cook.
We discussed about the weather.,We discussed the weather.
I want to make an interview.,I want to do an interview.
He has a lot of knowledges.,He has a lot of knowledge.
She managed to resolve the problems.,She managed to solve the problems.
I am going to give you an information.,I am going to give you some information.
They don't have enough informations.,They don't have enough information.
She have been learning English for two years.,She has been learning English for two years.
He is very exited about the match.,He is very excited about the match.
I think its very important.,I think it's very important.
She bored me with her complains.,She bored me with her complaints.
He is thinking to quit his job.,He is thinking of quitting his job.
They want to make a trip next summer.,They want to take a trip next summer.
I must admit that I was wrong.,I must admit that I was wrong.
She doesn't agree to this decision.,She doesn't agree with this decision.
I have to make a important decision.,I have to make an important decision.
He enjoy playing video games.,He enjoys playing video games.
They are waiting since morning.,They have been waiting since morning.
She looks more younger in that photo.,She looks younger in that photo.
I am very anxiety about the exam.,I am very anxious about the exam.
He didn't say me anything.,He didn't tell me anything.
We talked about many different subjects.,We talked about many different topics.
She has a good sense of humor, isn't she?
I am very tire of waiting.,I am very tired of waiting.
He makes a lot of sport.,He does a lot of sport.
She doesn't like that anyone criticize her.,She doesn't like anyone criticizing her.
I have been to Italy three years ago.,I went to Italy three years ago.
They must to do their best.,They must do their best.
She is very talented, although she is young.
He was the most popular student in the class.,He was the most popular student in the class.
I am used to ate late at night.,I am used to eating late at night.
They spend a lot of money in clothes.,They spend a lot of money on clothes.
She asked me to borrow some money.,She asked to borrow some money from me.
I am thinking to go abroad.,I am thinking of going abroad.
He don't have no choice.,He doesn't have any choice.
I have lot of homeworks to finish.,I have a lot of homework to finish.
She is not able to came tomorrow.,She is not able to come tomorrow.
He is waiting you at the reception.,He is waiting for you at the reception.
I wish that I can help.,I wish that I could help.
They had many furnitures in the living room.,They had a lot of furniture in the living room.
She is very sensible about what she eats.,She is very sensitive about what she eats.
I very enjoyed our conversation.,I really enjoyed our conversation.
He explained to me about the situation.,He explained the situation to me.
I forgot to make my homework.,I forgot to do my homework.
They builded a new stadium last year.,They built a new stadium last year.
She is the most kind person I know.,She is the kindest person I know.
I am very disappoint with his behavior.,I am very disappointed with his behavior.
He don't need any help.,He doesn't need any help.
We are going to discuss about the report.,We are going to discuss the report.
She has been married since 2010.,She has been married since 2010.
I prefer to stay at home than go out.,I prefer staying at home to going out.
He is much more older than her.,He is much older than her.
I haven't still finished the project.,I still haven't finished the project.
They are very exciting about the holiday.,They are very excited about the holiday.
She don't want to talk with me.,She doesn't want to talk to me.
I am agree to work overtime.,I agree to work overtime.
He insist that he is right.,He insists that he is right.
I have three childrens.,I have three children.
She got a good mark in the exam.,She got a good grade on the exam.
He decided to changed his job.,He decided to change his job.
We should to help each other.,We should help each other.
I am very boring on weekends.,I am very bored on weekends.
She didn't told the truth.,She didn't tell the truth.
I can't to remember his name.,I can't remember his name.
They didn't had enough time.,They didn't have enough time.
She is looking forward to see you.,She is looking forward to seeing you.
He has made a great progresses.,He has made great progress.
I am living here from two years.,I have been living here for two years.
She want to know more about the topic.,She wants to know more about the topic.
He speaks English since he was young.,He has been speaking English since he was young.
I wonder if she knows the answer.,I wonder if she knows the answer.
They enjoy to go hiking on weekends.,They enjoy going hiking on weekends.
I am agree that it is necessary.,I agree that it is necessary.
She is used to work on weekends.,She is used to working on weekends.
He would liked to go with us.,He would like to go with us.
We felt very relax after the vacation.,We felt very relaxed after the vacation.
I have been learning English since three years.,I have been learning English for three years.
She don't have enough money to buy a car.,She doesn't have enough money to buy a car.
He is very interesting in sports.,He is very interested in sports.
I need to discuss about this issue.,I need to discuss this issue.
They don't have no idea what to do.,They don't have any idea what to do.
She made a very good work.,She did a very good job.
I am very worryed about the exam.,I am very worried about the exam.
He didn't wanted to be late.,He didn't want to be late.
I am very nervous to speak in public.,I am very nervous about speaking in public.
She is very patient with childrens.,She is very patient with children.
We arrived at the hotel and made the check-in.,We arrived at the hotel and checked in.
He don't want to go to the dentist.,He doesn't want to go to the dentist.
I am looking forward to hear from you.,I am looking forward to hearing from you.
She is the more talented student I've met.,She is the most talented student I've met.
I have received many informations today.,I have received a lot of information today.
They didn't expected such a good result.,They didn't expect such a good result.
She is very nice and intelligent, isn't he?
I want to make a trip to Japan.,I want to take a trip to Japan.
He make very good coffee.,He makes very good coffee.
I am agree with your point of view.,I agree with your point of view.
She explaned me what to do.,She explained to me what to do.
They are going to discuss about this problem.,They are going to discuss this problem.
I am very boring in this city.,I am very bored in this city.
He didn't had any idea.,He didn't have any idea.
I prefer the summer to the winter.,I prefer summer to winter.
She was very nervious before the interview.,She was very nervous before the interview.
He think this is a good idea.,He thinks this is a good idea.
I am very exciting about the news.,I am very excited about the news.
They has been friends for years.,They have been friends for years.
I am happy that I have came here.,I am happy that I came here.
She is taller that her mother.,She is taller than her mother.
He must have forgot to call.,He must have forgotten to call.
I will to call you back later.,I will call you back later.
She is very good to explain things.,She is very good at explaining things.
I am used to go to bed early.,I am used to going to bed early.
They enjoyed to visit the museum.,They enjoyed visiting the museum.
I have made the exam yesterday.,I took the exam yesterday.
He is more happier now.,He is happier now.
She don't like to be critized.,She doesn't like to be criticized.
I am very boring without my friends.,I am very bored without my friends.
They needs to work harder.,They need to work harder.
I have been working here since five years.,I have been working here for five years.
She want to improve her English.,She wants to improve her English.
He doesn't know where he is going to go.,He doesn't know where he is going.
I have a lot of memories to the trip.,I have a lot of memories of the trip.
She said that she will come.,She said that she would come.
I should to apologize to him.,I should apologize to him.
They were very exited about the game.,They were very excited about the game.
He is the tallest among his brothers.,He is the tallest of his brothers.
I learned English since I was young.,I have been learning English since I was young.
She is very goodly at math.,She is very good at math.
He has a lot of works to do.,He has a lot of work to do.
I would like to make an important question.,I would like to ask an important question.
They have been lived in this city for years.,They have been living in this city for years.
She is more clever than I thought.,She is cleverer than I thought.
I am used to drink tea in the morning.,I am used to drinking tea in the morning.
He insisted to stay longer.,He insisted on staying longer.
I need informations about this topic.,I need information about this topic.
She had to made a decision quickly.,She had to make a decision quickly.
We spent a beautiful time together.,We had a wonderful time together.
I am not use to eat so much.,I am not used to eating so much.
He enjoyed very much the concert.,He enjoyed the concert very much.
I am already five years living here.,I have already been living here for five years.
She doesn't know how to make her homeworks.,She doesn't know how to do her homework.
I am very curios about this topic.,I am very curious about this topic.
He is a very kind person, isn't it?
They are used to lived in hot climates.,They are used to living in hot climates.
I would like to go in Japan next year.,I would like to go to Japan next year.
She worked very hardly on that project.,She worked very hard on that project.
I must to do my best.,I must do my best.
He seems very tire.,He seems very tired.
I have three informations for you.,I have some information for you.
They don't have enough knowledges.,They don't have enough knowledge.
She is looking forward to hear the news.,She is looking forward to hearing the news.
He don't enjoy his job.,He doesn't enjoy his job.
I was borned in a small town.,I was born in a small town.
They insisted that they are right.,They insisted that they were right.
She is married since two years.,She has been married for two years.
I have forgot my umbrella.,I have forgotten my umbrella.
He is very interesting in music.,He is very interested in music.
I went to the doctor because I feeled sick.,I went to the doctor because I felt sick.
They decided to going on a trip.,They decided to go on a trip.
I am very confident to pass the exam.,I am very confident that I will pass the exam.
She made a lot of progresses at school.,She made a lot of progress at school.
He was very surprise to see me.,He was very surprised to see me.
I make a lot of exercises at the gym.,I do a lot of exercise at the gym.
She suggested me to read this book.,She suggested that I read this book.
I am looking forward to see you again.,I am looking forward to seeing you again.
He is more tall than his father.,He is taller than his father.
They has lived here for twenty years.,They have lived here for twenty years.
I am very thank you for your help.,I am very grateful for your help.
She didn't answer at the phone.,She didn't answer the phone.
I am interesting in this project.,I am interested in this project.
He has got short hairs.,He has got short hair.
I want to know what happened to she.,I want to know what happened to her.
She is not agree with the plan.,She doesn't agree with the plan.
He should have went to the hospital.,He should have gone to the hospital.
I had a wonderful voyage to France.,I had a wonderful trip to France.
They waited for me a lot of time.,They waited for me for a long time.
She has a good sense of humor, hasn't she?
I enjoy to spend time with my family.,I enjoy spending time with my family.
He explained about the problem clearly.,He explained the problem clearly.
We need to make a progress.,We need to make progress.
I am very confusing about the instructions.,I am very confused about the instructions.
She doesn't have no idea.,She doesn't have any idea.
He is more older than he looks.,He is older than he looks.
I make a good travel to Spain.,I had a good trip to Spain.
They don't liked the food.,They didn't like the food.
She is used to do a lot of exercise.,She is used to doing a lot of exercise.
I am boring when I am alone.,I am bored when I am alone.
He has been worked here since last year.,He has been working here since last year.
She asked me what time is it.,She asked me what time it was.
They must finished the report by Monday.,They must finish the report by Monday.
I am very sensible about this topic.,I am very sensitive about this topic.
He don't like studying.,He doesn't like studying.
She have to work on Saturdays.,She has to work on Saturdays.
I want to make you an important question.,I want to ask you an important question.
They aren't used to live in cold climates.,They aren't used to living in cold climates.
She hasn't still submitted her assignment.,She still hasn't submitted her assignment.
He is the most good student in the class.,He is the best student in the class.
I must doing my homework now.,I must do my homework now.
She don't have to worry.,She doesn't have to worry.
We had a good voyage to Italy.,We had a good trip to Italy.
He has been waiting since a long time.,He has been waiting for a long time.
I am agree that we need to change.,I agree that we need to change.
She always makes me to laugh.,She always makes me laugh.
He didn't understood the joke.,He didn't understand the joke.
I am very proud to my country.,I am very proud of my country.
They have much homeworks to do.,They have a lot of homework to do.
She enjoyed very much to swim.,She enjoyed swimming very much.
I am not use to such cold weather.,I am not used to such cold weather.
He works since ten years in this company.,He has been working in this company for ten years.
I prefer to eat at home than going out.,I prefer eating at home to going out.
She isn't agree with my decision.,She doesn't agree with my decision.
He is one of the most talented person I've met.,He is one of the most talented people I've met.
I have visited London five years ago.,I visited London five years ago.
They didn't know what to do it.,They didn't know what to do.
She make very good food.,She makes very good food.
I am very grateful to your support.,I am very grateful for your support.
He insisted to go alone.,He insisted on going alone.
We need more informations before deciding.,We need more information before deciding.
I am going to make a question.,I am going to ask a question.
She don't understand the problem.,She doesn't understand the problem.
He didn't say nothing about the plan.,He didn't say anything about the plan.
I am very interested to learn about history.,I am very interested in learning about history.
They has made a lot of effort.,They have made a lot of effort.
She looked very nervious during the presentation.,She looked very nervous during the presentation.
I could have went with them.,I could have gone with them.
He needs to pay attention to the details.,He needs to pay attention to the details.
She don't work on Sundays.,She doesn't work on Sundays.
I have never went to Asia.,I have never been to Asia.
They are thinking to open a new shop.,They are thinking of opening a new shop.
She is very boring without her friends.,She is very bored without her friends.
He said me that he was not coming.,He told me that he was not coming.
I spend all my savings in a trip.,I spent all my savings on a trip.
She was very disappoint with the news.,She was very disappointed with the news.
I enjoy to read books on weekends.,I enjoy reading books on weekends.
He is agree with the decision.,He agrees with the decision.
They didn't expected to see us.,They didn't expect to see us.
She is the most friendly person I know.,She is the friendliest person I know.
I don't have enough confidences in myself.,I don't have enough confidence in myself.
He explained the problem to me very clearly.,He explained the problem to me very clearly.
I have made an important progresses.,I have made an important progress.
She worryed about the exam all night.,She worried about the exam all night.
I am agree that we should try.,I agree that we should try.
They don't have no option.,They don't have any option.
He make a lot of mistakes in spelling.,He makes a lot of mistakes in spelling.
I am very boreded at home.,I am very bored at home.
She has a lot of knowledge about this topic.,She has a lot of knowledge about this topic.
I don't know what is his name.,I don't know what his name is.
They must to submit the project tomorrow.,They must submit the project tomorrow.
She is very differ from what I expected.,She is very different from what I expected.
I am going to study during two hours.,I am going to study for two hours.
He didn't want to made any mistakes.,He didn't want to make any mistakes.
I am very exciting about the game tonight.,I am very excited about the game tonight.
She needs to made a choice.,She needs to make a choice.
We should avoid to make the same mistake.,We should avoid making the same mistake.
He is waiting you in the meeting room.,He is waiting for you in the meeting room.
I am a student since three years.,I have been a student for three years.
She don't feel like going out.,She doesn't feel like going out.
I should paid more attention.,I should have paid more attention.
They didn't had any experience.,They didn't have any experience.
She is very exited about the vacation.,She is very excited about the vacation.
He is one of the more experienced managers.,He is one of the most experienced managers.
I need to make the laundry.,I need to do the laundry.
She prefer to stay home.,She prefers to stay home.
I have the flu from one week.,I have had the flu for one week.
He succeeded to pass the exam.,He succeeded in passing the exam.
We were very disappointment with the show.,We were very disappointed with the show.
I didn't knew about the meeting.,I didn't know about the meeting.
She is very interesting in cooking.,She is very interested in cooking.
They has to arrive by eight o'clock.,They have to arrive by eight o'clock.
I have been lived here all my life.,I have lived here all my life.
He don't agree with the plan.,He doesn't agree with the plan.
I am very boring during the holidays.,I am very bored during the holidays.
She asked me where was the library.,She asked me where the library was.
I feel nerviou when I speak in public.,I feel nervous when I speak in public.
He is the more handsome actor in that film.,He is the most handsome actor in that film.
I want to discus about this tomorrow.,I want to discuss this tomorrow.
They has to finish the task.,They have to finish the task.
She didn't had enough time to study.,She didn't have enough time to study.
I am used to take the bus every day.,I am used to taking the bus every day.
He has a lot of works left to do.,He has a lot of work left to do.
I am grateful to you for you're help.,I am grateful to you for your help.
She decided to went on vacation.,She decided to go on vacation.
I am very comfortble in this city.,I am very comfortable in this city.
He is very good in speaking English.,He is very good at speaking English.
I feel very sleppy after lunch.,I feel very sleepy after lunch.
They enjoyed to explore the city.,They enjoyed exploring the city.
She has many luggages.,She has a lot of luggage.
I am spending a wonderfull time here.,I am spending a wonderful time here.
He didn't wanted to go.,He didn't want to go.
I must to study more.,I must study more.
She is very differ from her colleague.,She is very different from her colleague.
I will give you an important information.,I will give you some important information.
They have been working since five hours.,They have been working for five hours.
I very much enjoy my new apartment.,I enjoy my new apartment very much.
She doesn't want to made any effort.,She doesn't want to make any effort.
He talk a lot during meetings.,He talks a lot during meetings.
She don't like to be ignored.,She doesn't like to be ignored.
He make a very good point.,He makes a very good point.
I am very tire of this situation.,I am very tired of this situation.
They has to do their best.,They have to do their best.
She is looking forward to meet him.,She is looking forward to meeting him.
I didn't expected this to happen.,I didn't expect this to happen.
He has been study English for two years.,He has been studying English for two years.
I am very pride of my son.,I am very proud of my son.
She don't have no problems with it.,She doesn't have any problems with it.
He sayed that he would be late.,He said that he would be late.
I am interesting to know more.,I am interested in knowing more.
They didn't want to made any changes.,They didn't want to make any changes.
She felt very depress after the news.,She felt very depressed after the news.
He is very good to play the guitar.,He is very good at playing the guitar.
I enjoy to walk in the park.,I enjoy walking in the park.
She didn't come at the meeting.,She didn't come to the meeting.
We must to respect the rules.,We must respect the rules.
He always forgets to make his homework.,He always forgets to do his homework.
I'm not agree with his opinion.,I don't agree with his opinion.
She has a lot of homeworks to finish.,She has a lot of homework to finish.
I am very satisfy with the service.,I am very satisfied with the service.
He don't like to take risks.,He doesn't like to take risks.
I should have studied more hardly.,I should have studied harder.
They are going to discuss about the plan.,They are going to discuss the plan.
She asked me what time does the train leave.,She asked me what time the train left.
I have a lot of experience about this field.,I have a lot of experience in this field.
He is more younger than his sister.,He is younger than his sister.
I am agree with what you said.,I agree with what you said.
She failed at the exam.,She failed the exam.
They must to clean their room.,They must clean their room.
I am very happy to hear this informations.,I am very happy to hear this information.
He is one of the best player in the league.,He is one of the best players in the league.
She don't like it when people are rude.,She doesn't like it when people are rude.
I have been to Paris three years ago.,I went to Paris three years ago.
He decided to quit his work.,He decided to quit his job.
I need to do a complaint.,I need to make a complaint.
She is very interesting in the topic.,She is very interested in the topic.
They don't have no complaints.,They don't have any complaints.
I am used to wake up at six.,I am used to waking up at six.
He don't understand why she is upset.,He doesn't understand why she is upset.
I must to go now.,I must go now.
She looked very tire during the meeting.,She looked very tired during the meeting.
They enjoyed to visit the old town.,They enjoyed visiting the old town.
I am sorry to be late.,I am sorry for being late.
He don't have the right to do that.,He doesn't have the right to do that.
She is very knowledgable about history.,She is very knowledgeable about history.
I have been waiting since three hours.,I have been waiting for three hours.
They didn't had enough resources.,They didn't have enough resources.
He makes a lot of progresses at work.,He makes a lot of progress at work.
I prefer the winter than the summer.,I prefer winter to summer.
She don't know what to do.,She doesn't know what to do.
He has many year of experience.,He has many years of experience.
I am boring when there is nothing to do.,I am bored when there is nothing to do.
